no,type,oc_dt,oc_addr,oc_p1,oc_p2,oc_p3,proc_no,kind,weight_g
編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量（淨重）_克
1,毒品,1111108,新北市土城區,公寓(三至五層建築物),    ,    ,1,安非他命,0.41
2,毒品,1111024,新北市板橋區,公寓(三至五層建築物),    ,    ,1,甲基安非他命,0
3,毒品,1111019,新北市板橋區,公寓(三至五層建築物),    ,    ,1,甲基安非他命,0
4,毒品,1111029,新北市板橋區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
5,毒品,1111208,新北市板橋區,公路(省、縣、鄉、鎮道,    ,    ,2,大麻（大麻花及大麻葉）,0.4
5,毒品,1111208,新北市板橋區,公路(省、縣、鄉、鎮道,    ,    ,2,甲基安非他命,1
6,毒品,1111205,臺北市大安區,郵政機構(郵局除外),    ,    ,2,K(愷)他命(含液態),2320.5
7,毒品,1111220,高雄市三民區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.29
8,毒品,1111109,臺中市西屯區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
9,毒品,1111220,臺北市士林區,公寓(三至五層建築物),    ,    ,1,大麻（大麻花及大麻葉）,0.01
11,毒品,1111223,新北市板橋區,臺鐵（含車道、車站等）,    ,    ,1,安非他命,0.41
13,毒品,1111102,高雄市茄萣區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,0
14,毒品,1111009,新竹縣湖口鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
15,毒品,1111022,宜蘭縣員山鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
16,毒品,1111028,宜蘭縣員山鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
17,毒品,1111207,嘉義市東區,普通住宅(一、二層樓),    ,    ,1,安非他命,0.97
18,毒品,1111205,臺北市大安區,公路(省、縣、鄉、鎮道,    ,    ,1,大麻（大麻花及大麻葉）,0.85
19,毒品,1111105,桃園市桃園區,大廈(六層以上建築物),    ,    ,1,甲基安非他命,0
20,毒品,1111215,臺北市士林區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.01
21,毒品,1111111,雲林縣西螺鎮,便利商店,    ,    ,2,甲基卡西酮,80.2
21,毒品,1111111,雲林縣西螺鎮,便利商店,    ,    ,2,甲基卡西酮,21.4
22,毒品,1111113,臺南市南區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
23,毒品,1111115,臺南市安南區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
24,毒品,1111207,桃園市中壢區,公路(省、縣、鄉、鎮道,    ,停車場,1,安非他命,0.35
25,毒品,1111119,新北市新店區,公寓(三至五層建築物),    ,    ,1,安非他命,0
26,毒品,1111001,苗栗縣苗栗市,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
27,毒品,1111009,苗栗縣頭屋鄉,普通住宅(一、二層樓),    ,房間（起居室）,1,安非他命,0
28,毒品,1111011,苗栗縣三義鄉,普通住宅(一、二層樓),    ,房間（起居室）,1,安非他命,0
29,毒品,1111209,臺南市北區,公路(省、縣、鄉、鎮道,    ,    ,1,K(愷)他命(含液態),2.5
29,毒品,1111209,臺南市北區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,2.3
31,毒品,1111026,新北市新莊區,公寓(三至五層建築物),    ,    ,1,安非他命,0.45
31,毒品,1111026,新北市新莊區,公寓(三至五層建築物),    ,    ,1,海洛因,0.82
32,毒品,1111130,新北市泰山區,大廈(六層以上建築物),    ,    ,1,甲基安非他命,521
33,毒品,1111206,新北市林口區,大廈(六層以上建築物),    ,    ,1,安非他命,0.38
34,毒品,1111219,臺南市永康區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.9
35,毒品,1111115,臺南市永康區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
36,毒品,1111110,臺南市永康區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
37,毒品,1111021,基隆市暖暖區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
38,毒品,1111026,臺南市永康區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
39,毒品,1111224,臺南市永康區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.37
40,毒品,1111227,臺南市永康區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,279.65
41,毒品,1111016,新北市蘆洲區,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
42,毒品,1111226,嘉義市東區,公路(省、縣、鄉、鎮道,    ,街道馬路,2,甲基安非他命,0.3
42,毒品,1111226,嘉義市東區,公路(省、縣、鄉、鎮道,    ,街道馬路,2,甲基安非他命,1
43,毒品,1111017,桃園市中壢區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
44,毒品,1111101,雲林縣北港鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,0
45,毒品,1111012,臺中市北區,大廈(六層以上建築物),    ,    ,1,安非他命,0
45,毒品,1111012,臺中市北區,大廈(六層以上建築物),    ,    ,1,海洛因,0
46,毒品,1111212,桃園市八德區,普通住宅(一、二層樓),    ,    ,1,海洛因,10.33
46,毒品,1111212,桃園市八德區,普通住宅(一、二層樓),    ,    ,1,安非他命,2.77
47,毒品,1111116,新北市貢寮區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
48,毒品,1111117,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0
49,毒品,1111105,新竹縣竹東鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,0
50,毒品,1111229,新北市新莊區,公寓(三至五層建築物),    ,    ,1,安非他命,8.13
50,毒品,1111229,新北市新莊區,公寓(三至五層建築物),    ,    ,1,安非他命,15.01
51,毒品,1111031,臺北市內湖區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
52,毒品,1111102,桃園市中壢區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,安非他命,0
52,毒品,1111102,桃園市中壢區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,海洛因,0
53,毒品,1111004,桃園市中壢區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
