no,type,oc_dt,oc_addr,oc_p1,oc_p2,oc_p3,proc_no,kind,weight_g
編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量（淨重）_克
1,毒品,1121030,臺北市南港區,公寓(三至五層建築物),    ,    ,1,安非他命,5.46
2,毒品,1121029,嘉義市東區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0.72
3,毒品,1121002,屏東縣屏東市,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,75.42
4,毒品,1121028,臺北市大同區,公路(省、縣、鄉、鎮道,telegram,電腦網路,2,K(愷)他命(含液態),1.39
4,毒品,1121028,臺北市大同區,公路(省、縣、鄉、鎮道,telegram,電腦網路,2,卡西酮,81.2
5,毒品,1121030,臺北市大同區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,17.26
5,毒品,1121030,臺北市大同區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,36.41
6,毒品,1121012,新竹市香山區,透天厝,    ,房間（起居室）,1,海洛因,5.53
6,毒品,1121012,新竹市香山區,透天厝,    ,房間（起居室）,1,安非他命,55.57
7,毒品,1121003,臺南市永康區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.43
8,毒品,1121004,高雄市三民區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.78
9,毒品,1121003,彰化縣線西鄉,普通住宅(一、二層樓),    ,    ,2,甲基安非他命,12.9
9,毒品,1121003,彰化縣線西鄉,普通住宅(一、二層樓),    ,    ,2,大麻（大麻花及大麻葉）,11.1
9,毒品,1121003,彰化縣線西鄉,普通住宅(一、二層樓),    ,    ,2,K(愷)他命(含液態),6.5
9,毒品,1121003,彰化縣線西鄉,普通住宅(一、二層樓),    ,    ,2,海洛因,23.4
10,毒品,1121002,新北市板橋區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,0.33
11,毒品,1121016,新北市土城區,公路(省、縣、鄉、鎮道,    ,街道馬路,2,海洛因,0.42
11,毒品,1121016,新北市土城區,公路(省、縣、鄉、鎮道,    ,街道馬路,2,安非他命,0.4
12,毒品,1121016,新北市土城區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.63
12,毒品,1121016,新北市土城區,公路(省、縣、鄉、鎮道,    ,    ,1,K(愷)他命(含液態),0.41
13,毒品,1121003,新北市板橋區,公寓(三至五層建築物),    ,    ,2,海洛因,41.07
13,毒品,1121003,新北市板橋區,公寓(三至五層建築物),    ,    ,2,甲基安非他命,3.06
14,毒品,1121026,桃園市大園區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
14,毒品,1121026,桃園市大園區,普通住宅(一、二層樓),    ,    ,1,海洛因,0.19
