no,type,oc_dt,oc_addr,oc_p1,oc_p2,oc_p3,proc_no,kind,weight_g
編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量（淨重）_克
1,毒品,20241006,基隆市仁愛區,公路(省、縣、鄉、鎮道, , ,2,安非他命,10.22
2,毒品,20241011,嘉義市東區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.17
3,毒品,20241006,臺中市西區,公路(省、縣、鄉、鎮道, , ,1,海洛因,0.45
4,毒品,20241009,新北市新莊區,公寓(三至五層建築物), , ,1,海洛因,4.42
4,毒品,20241009,新北市新莊區,公寓(三至五層建築物), , ,1,甲基安非他命,20.59
4,毒品,20241009,新北市新莊區,公寓(三至五層建築物), , ,1,依托咪酯（Etomidate）,35.44
5,毒品,20241026,桃園市大溪區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.54
5,毒品,20241026,桃園市大溪區,公路(省、縣、鄉、鎮道, , ,1,依托咪酯（Etomidate）,6.08
6,毒品,20241029,桃園市觀音區,透天厝,LINE,電腦網路,1,大麻浸膏,692.77
7,毒品,20241018,臺北市內湖區,公路(省、縣、鄉、鎮道, , ,1,安非他命,3.76
8,毒品,20241018,彰化縣鹿港鎮,工地、工寮, , ,1,安非他命,5.6
8,毒品,20241018,彰化縣鹿港鎮,工地、工寮, , ,1,FM2,2.1
9,毒品,20241002,高雄市前鎮區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.52
10,毒品,20241007,新北市板橋區,旅社飯店客棧, , ,1,甲基安非他命,0.36
11,毒品,20241009,桃園市龜山區,公寓(三至五層建築物), , ,2,海洛因,58.39
11,毒品,20241009,桃園市龜山區,公寓(三至五層建築物), , ,2,安非他命,81.25
12,毒品,20241001,臺北市中山區,公路(省、縣、鄉、鎮道, , ,1,安非他命,12.1
13,毒品,20241007,桃園市平鎮區,公路(省、縣、鄉、鎮道, , ,1,安非他命,10.52
14,毒品,20241015,臺中市東勢區,透天厝, , ,2,海洛因,3.33
14,毒品,20241015,臺中市東勢區,透天厝, , ,2,大麻（大麻花及大麻葉）,0.45
14,毒品,20241015,臺中市東勢區,透天厝, , ,2,安非他命,2.22
15,毒品,20241017,彰化縣溪湖鎮,普通住宅(一、二層樓), , ,1,安非他命,0
16,毒品,20241003,桃園市桃園區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.4
17,毒品,20241001,桃園市平鎮區,公路(省、縣、鄉、鎮道, , ,1,K(愷)他命(含液態),46.04
18,毒品,20241007,臺北市士林區,公路(省、縣、鄉、鎮道, , ,1,大麻（大麻花及大麻葉）,0.21
18,毒品,20241007,臺北市士林區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.9
18,毒品,20241007,臺北市士林區,公路(省、縣、鄉、鎮道, , ,1,"MDMA（快樂丸、搖頭丸、3,4-亞甲基雙氧甲基安非他命）",1
19,毒品,20241014,雲林縣斗南鎮,高速公路, , ,1,K(愷)他命(含液態),14.69
19,毒品,20241014,雲林縣斗南鎮,高速公路, , ,1,K(愷)他命(含液態),23.54
20,毒品,20241005,高雄市大寮區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.28
21,毒品,20241015,桃園市龜山區,公路(省、縣、鄉、鎮道, , ,1,海洛因,0
22,毒品,20241026,桃園市蘆竹區,普通住宅(一、二層樓), , ,2,卡西酮,57.99
22,毒品,20241026,桃園市蘆竹區,普通住宅(一、二層樓), , ,2,K(愷)他命(含液態),9.13
23,毒品,20241002,臺中市西屯區,公路(省、縣、鄉、鎮道,其他,電腦網路,1,依托咪酯（Etomidate）,28.4
24,毒品,20241002,基隆市仁愛區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.37
25,毒品,20241027,臺北市萬華區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.95
26,毒品,20241001,屏東縣屏東市,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
27,毒品,20241028,臺中市北屯區,透天厝, , ,1,安非他命,0.9
28,毒品,20241009,臺北市大安區,公路(省、縣、鄉、鎮道, , ,2,大麻（大麻花及大麻葉）,0.01
29,毒品,20241009,新北市中和區,公路(省、縣、鄉、鎮道, ,巷口(路口),1,安非他命,0.29
29,毒品,20241009,新北市中和區,公路(省、縣、鄉、鎮道, ,巷口(路口),1,依托咪酯（Etomidate）,0
30,毒品,20241014,高雄市前鎮區,普通住宅(一、二層樓), , ,1,安非他命,0.96
31,毒品,20241024,臺中市太平區,公路(省、縣、鄉、鎮道, , ,1,安非他命,30.46
32,毒品,20241008,嘉義縣大林鎮,普通住宅(一、二層樓), , ,1,海洛因,2.7
32,毒品,20241008,嘉義縣大林鎮,普通住宅(一、二層樓), , ,1,安非他命,13.5
33,毒品,20241011,新北市樹林區,普通住宅(一、二層樓), , ,1,海洛因,1.46
34,毒品,20241012,臺北市萬華區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
35,毒品,20241011,屏東縣九如鄉,公路(省、縣、鄉、鎮道, , ,1,大麻（大麻花及大麻葉）,10.18
35,毒品,20241011,屏東縣九如鄉,公路(省、縣、鄉、鎮道, , ,1,安非他命,30.08
36,毒品,20241003,新北市中和區,公寓(三至五層建築物), , ,1,安非他命,12.64
37,毒品,20241009,新竹縣竹北市,公路(省、縣、鄉、鎮道, , ,1,安非他命,2.08
37,毒品,20241009,新竹縣竹北市,公路(省、縣、鄉、鎮道, , ,1,安非他命,2.74
37,毒品,20241009,新竹縣竹北市,公路(省、縣、鄉、鎮道, , ,1,依托咪酯（Etomidate）,11.9
38,毒品,20241022,高雄市大寮區,公路(省、縣、鄉、鎮道, , ,1,安非他命,1.2
39,毒品,20241027,臺北市萬華區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
40,毒品,20241025,臺南市北區,公路(省、縣、鄉、鎮道, , ,1,4-甲基甲基卡西酮(喵喵),304.73
41,毒品,20241014,南投縣竹山鎮,普通住宅(一、二層樓), , ,1,安非他命,0.69
42,毒品,20241029,桃園市平鎮區,公路(省、縣、鄉、鎮道,TikTok抖音,電腦網路,2,依托咪酯（Etomidate）,30.9
43,毒品,20241030,雲林縣斗南鎮,汽車旅館, , ,1,安非他命,2.97
44,毒品,20241003,臺中市潭子區,公路(省、縣、鄉、鎮道,telegram,電腦網路,1,依托咪酯（Etomidate）,0.2
45,毒品,20241002,高雄市前鎮區,公路(省、縣、鄉、鎮道, , ,1,安非他命,1.68
46,毒品,20241003,新北市中和區,大廈(六層以上建築物), , ,1,海洛因,3.18
46,毒品,20241003,新北市中和區,大廈(六層以上建築物), , ,1,安非他命,2.51
47,毒品,20241009,基隆市中山區,公路(省、縣、鄉、鎮道, , ,1,安非他命,41.2
48,毒品,20241001,臺中市潭子區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.8
49,毒品,20241021,彰化縣伸港鄉,普通住宅(一、二層樓), , ,1,海洛因,0
49,毒品,20241021,彰化縣伸港鄉,普通住宅(一、二層樓), , ,1,安非他命,0
50,毒品,20241022,臺北市南港區,公路(省、縣、鄉、鎮道, ,汽車上,1,大麻（大麻花及大麻葉）,13.25
51,毒品,20241017,臺北市大同區,公路(省、縣、鄉、鎮道, , ,1,依托咪酯（Etomidate）,52.85
52,毒品,20241016,桃園市蘆竹區,透天厝,LINE,電腦網路,1,安非他命,0.82
53,毒品,20241027,屏東縣竹田鄉,公路(省、縣、鄉、鎮道, ,街道馬路,1,安非他命,0.67
54,毒品,20241013,新北市三峽區,普通住宅(一、二層樓), , ,1,海洛因,0.67
54,毒品,20241013,新北市三峽區,普通住宅(一、二層樓), , ,1,安非他命,20
55,毒品,20241027,臺中市北區,公路(省、縣、鄉、鎮道, , ,1,K(愷)他命(含液態),95.47
56,毒品,20241001,高雄市鳥松區,公路(省、縣、鄉、鎮道, , ,1,安非他命,196.46
56,毒品,20241001,高雄市鳥松區,公路(省、縣、鄉、鎮道, , ,1,K(愷)他命(含液態),10.78
57,毒品,20241029,桃園市中壢區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0
58,毒品,20241014,高雄市小港區,公路(省、縣、鄉、鎮道, , ,1,安非他命,1.86
59,毒品,20241004,臺北市萬華區,出租公寓（套房）, , ,1,安非他命,2.2
59,毒品,20241004,臺北市萬華區,出租公寓（套房）, , ,1,依托咪酯（Etomidate）,0
60,毒品,20241026,桃園市楊梅區,工廠(不含爆竹車輛修配、含工業, , ,1,海洛因,0.96
60,毒品,20241026,桃園市楊梅區,工廠(不含爆竹車輛修配、含工業, , ,1,安非他命,0
61,毒品,20241018,臺北市萬華區,公路(省、縣、鄉、鎮道, , ,1,安非他命,2.28
62,毒品,20241006,宜蘭縣壯圍鄉,獨立專門停車塔(場), , ,1,依托咪酯（Etomidate）,51.7
63,毒品,20241028,臺南市安南區,透天厝, , ,1,K(愷)他命(含液態),907
63,毒品,20241028,臺南市安南區,透天厝, , ,1,甲基－卡西酮(Methylcathinone),34196
64,毒品,20241010,桃園市平鎮區,公路(省、縣、鄉、鎮道, , ,1,K(愷)他命(含液態),20.52
65,毒品,20241001,新北市八里區,普通住宅(一、二層樓), , ,1,海洛因,7.39
66,毒品,20241026,新北市土城區,公路(省、縣、鄉、鎮道, ,街道馬路,1,安非他命,0.87
67,毒品,20241018,新竹市東區,普通住宅(一、二層樓), , ,1,海洛因,14
67,毒品,20241018,新竹市東區,普通住宅(一、二層樓), , ,1,安非他命,19.2
67,毒品,20241018,新竹市東區,普通住宅(一、二層樓), , ,1,依托咪酯（Etomidate）,30.79
67,毒品,20241018,新竹市東區,普通住宅(一、二層樓), , ,1,依托咪酯（Etomidate）,68.54
68,毒品,20241005,嘉義縣中埔鄉,普通住宅(一、二層樓), , ,1,安非他命,13.17
69,毒品,20241010,屏東縣潮州鎮,產業道路, , ,1,甲基安非他命,0
70,毒品,20241025,彰化縣花壇鄉,普通住宅(一、二層樓), , ,1,海洛因,0.25
70,毒品,20241025,彰化縣花壇鄉,普通住宅(一、二層樓), , ,1,安非他命,0.46
71,毒品,20241025,新北市三重區,公路(省、縣、鄉、鎮道, , ,1,甲基安非他命,2.08
72,毒品,20241016,苗栗縣苗栗市,公路(省、縣、鄉、鎮道, , ,1,甲基卡西酮,83.39
73,毒品,20241016,臺南市白河區,公路(省、縣、鄉、鎮道, , ,1,海洛因,2.05
74,毒品,20241010,基隆市安樂區,大廈(六層以上建築物), , ,1,依托咪酯（Etomidate）,11.2
75,毒品,20241012,臺北市內湖區,公路(省、縣、鄉、鎮道, , ,1,安非他命,0.65
