no,type,oc_dt,oc_addr,oc_p1,oc_p2,oc_p3,proc_no,kind,weight_g
編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量（淨重）_克
1,毒品,1130305,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
2,毒品,1130305,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
3,毒品,1130312,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
4,毒品,1130312,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
5,毒品,1130310,桃園市桃園區,醫療院所(門診中心),    ,    ,1,安非他命,6.72
6,毒品,1130224,宜蘭縣蘇澳鎮,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
7,毒品,1130306,臺南市新營區,普通住宅(一、二層樓),    ,    ,1,安非他命,0.16
7,毒品,1130306,臺南市新營區,普通住宅(一、二層樓),    ,    ,1,安非他命,0.17
8,毒品,1130327,嘉義市西區,公路(省、縣、鄉、鎮道,    ,巷口(路口),1,K(愷)他命(含液態),8.05
8,毒品,1130327,嘉義市西區,公路(省、縣、鄉、鎮道,    ,巷口(路口),1,4-甲基甲基卡西酮(喵喵),59.99
9,毒品,1130327,嘉義市西區,公路(省、縣、鄉、鎮道,    ,巷口(路口),1,K(愷)他命(含液態),70.78
9,毒品,1130327,嘉義市西區,公路(省、縣、鄉、鎮道,    ,巷口(路口),1,4-甲基甲基卡西酮(喵喵),1201.5
10,毒品,1130317,臺中市南屯區,商店行號,    ,    ,1,海洛因,3.45
10,毒品,1130317,臺中市南屯區,商店行號,    ,    ,1,K(愷)他命(含液態),5.87
10,毒品,1130317,臺中市南屯區,商店行號,    ,    ,1,海洛因,1.72
10,毒品,1130317,臺中市南屯區,商店行號,    ,    ,1,海洛因,1.38
10,毒品,1130317,臺中市南屯區,商店行號,    ,    ,1,海洛因,0.58
11,毒品,1130316,新北市中和區,公路(省、縣、鄉、鎮道,    ,    ,2,安非他命,3.71
11,毒品,1130316,新北市中和區,公路(省、縣、鄉、鎮道,    ,    ,2,海洛因,1.46
12,毒品,1130304,新竹市北區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.59
14,毒品,1130120,雲林縣斗六市,普通住宅(一、二層樓),    ,    ,1,K(愷)他命(含液態),0
15,毒品,1130314,彰化縣花壇鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,2.4
15,毒品,1130314,彰化縣花壇鄉,普通住宅(一、二層樓),    ,    ,1,K(愷)他命(含液態),0.6
16,毒品,1130317,高雄市鳳山區,公路(省、縣、鄉、鎮道,    ,    ,1,4-甲基甲基卡西酮(喵喵),28
17,毒品,1130115,桃園市觀音區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
18,毒品,1130128,高雄市新興區,舞廳,    ,    ,1,安非他命,0
19,毒品,1130313,彰化縣鹿港鎮,公路(省、縣、鄉、鎮道,    ,汽車上,1,海洛因,0.34
19,毒品,1130313,彰化縣鹿港鎮,公路(省、縣、鄉、鎮道,    ,汽車上,1,安非他命,1.08
20,毒品,1130119,桃園市大溪區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,3.2
21,毒品,1130222,新北市三重區,公路(省、縣、鄉、鎮道,    ,汽車上,1,甲基安非他命,15.45
22,毒品,1130222,新北市三重區,旅社飯店客棧,    ,    ,1,甲基安非他命,0.98
23,毒品,1130124,彰化縣埔心鄉,普通住宅(一、二層樓),    ,    ,1,海洛因,0
23,毒品,1130124,彰化縣埔心鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
24,毒品,1130118,彰化縣埔鹽鄉,普通住宅(一、二層樓),    ,    ,1,安非他命,0
25,毒品,1130204,高雄市岡山區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
25,毒品,1130204,高雄市岡山區,普通住宅(一、二層樓),    ,    ,1,海洛因,0
26,毒品,1130308,新北市樹林區,公寓(三至五層建築物),    ,    ,1,海洛因,1.93
27,毒品,1130324,桃園市中壢區,公路(省、縣、鄉、鎮道,    ,機車上,1,安非他命,1.5
28,毒品,1130323,桃園市中壢區,公路(省、縣、鄉、鎮道,    ,機車上,1,安非他命,0.22
29,毒品,1130308,新北市蘆洲區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,2.5
30,毒品,1130201,臺中市中區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
31,毒品,1130109,高雄市梓官區,透天厝,    ,    ,1,安非他命,0
32,毒品,1130120,新北市板橋區,大廈(六層以上建築物),    ,    ,1,甲基安非他命,0
34,毒品,1130313,新北市板橋區,公寓(三至五層建築物),    ,    ,1,大麻（大麻花及大麻葉）,3.11
35,毒品,1130313,新北市板橋區,公寓(三至五層建築物),    ,    ,1,大麻（大麻花及大麻葉）,1.52
37,毒品,1130308,臺北市萬華區,大廈(六層以上建築物),    ,    ,1,大麻（大麻花及大麻葉）,125
38,毒品,1130313,臺北市萬華區,大廈(六層以上建築物),    ,    ,1,大麻（大麻花及大麻葉）,33.6
39,毒品,1130312,臺中市南屯區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,0.2
40,毒品,1130312,臺北市中山區,公寓(三至五層建築物),telegram,電腦網路,1,大麻（大麻花及大麻葉）,6
41,毒品,1130312,新北市板橋區,大廈(六層以上建築物),    ,    ,1,大麻（大麻花及大麻葉）,5.49
42,毒品,1130301,新北市瑞芳區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.79
43,毒品,1130109,南投縣草屯鎮,普通住宅(一、二層樓),    ,    ,1,安非他命,0
43,毒品,1130109,南投縣草屯鎮,普通住宅(一、二層樓),    ,    ,1,海洛因,0
44,毒品,1130216,宜蘭縣壯圍鄉,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
45,毒品,1130305,雲林縣斗六市,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
46,毒品,1130325,基隆市仁愛區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,14.46
47,毒品,1130304,臺北市萬華區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,2.83
48,毒品,1130318,臺中市西屯區,公寓(三至五層建築物),    ,    ,1,安非他命,49.6
48,毒品,1130318,臺中市西屯區,公寓(三至五層建築物),    ,    ,1,海洛因,11.5
49,毒品,1130217,桃園市桃園區,汽車旅館,    ,    ,1,甲基卡西酮,0
50,毒品,1130306,桃園市八德區,公寓(三至五層建築物),    ,    ,1,卡西酮,18
51,毒品,1130313,桃園市桃園區,大廈(六層以上建築物),    ,    ,1,大麻（大麻花及大麻葉）,0.2
52,毒品,1130112,桃園市桃園區,醫療院所(門診中心),    ,    ,1,安非他命,0
53,毒品,1130201,臺南市中西區,普通住宅(一、二層樓),    ,    ,1,嗎啡,0
54,毒品,1130326,臺中市大里區,公路(省、縣、鄉、鎮道,    ,    ,1,"MDMA（快樂丸、搖頭丸、3,4-亞甲基雙氧甲基安非他命）",0.1
55,毒品,1130306,彰化縣彰化市,產業道路,    ,    ,1,去氯愷他命(Deschloroketamine),9.3
56,毒品,1130312,臺北市萬華區,公寓(三至五層建築物),    ,    ,1,大麻（大麻花及大麻葉）,4.08
57,毒品,1130312,臺北市萬華區,公寓(三至五層建築物),    ,    ,1,大麻（大麻花及大麻葉）,22.86
58,毒品,1130306,臺北市萬華區,大廈(六層以上建築物),    ,    ,3,大麻（大麻花及大麻葉）,8.89
58,毒品,1130306,臺北市萬華區,大廈(六層以上建築物),    ,    ,3,大麻（大麻花及大麻葉）,31.66
58,毒品,1130306,臺北市萬華區,大廈(六層以上建築物),    ,    ,3,大麻（大麻花及大麻葉）,25.73
59,毒品,1130206,臺北市大安區,機場,    ,    ,2,大麻（大麻花及大麻葉）,1089
60,毒品,1130201,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
60,毒品,1130201,桃園市桃園區,公路(省、縣、鄉、鎮道,    ,    ,1,海洛因,3.28
61,毒品,1130312,桃園市桃園區,獨立專門停車塔(場),普通住宅(一、二層樓),    ,1,大麻（大麻花及大麻葉）,13
61,毒品,1130312,桃園市桃園區,獨立專門停車塔(場),普通住宅(一、二層樓),    ,1,卡西酮,370.28
62,毒品,1130302,臺北市萬華區,公路(省、縣、鄉、鎮道,    ,街道馬路,1,大麻（大麻花及大麻葉）,12
63,毒品,1130323,臺北市萬華區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
64,毒品,1130320,新北市三重區,公路(省、縣、鄉、鎮道,    ,    ,1,甲基安非他命,14.77
65,毒品,1130123,新北市三重區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
66,毒品,1130317,新北市蘆洲區,公寓(三至五層建築物),    ,    ,1,大麻（大麻花及大麻葉）,0.01
67,毒品,1130309,新北市蘆洲區,公寓(三至五層建築物),    ,    ,1,安非他命,1.7
67,毒品,1130309,新北市蘆洲區,公寓(三至五層建築物),    ,    ,1,K(愷)他命(含液態),11.6
68,毒品,1130104,臺北市萬華區,公路(省、縣、鄉、鎮道,    ,    ,1,原可待因,0
68,毒品,1130104,臺北市萬華區,公路(省、縣、鄉、鎮道,    ,    ,1,嗎啡,0
69,毒品,1130223,臺南市麻豆區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
70,毒品,1130304,桃園市桃園區,機場,    ,    ,4,大麻（大麻花及大麻葉）,61657.5
71,毒品,1130204,屏東縣萬丹鄉,普通住宅(一、二層樓),    ,    ,1,甲基安非他命,0
72,毒品,1130308,臺北市萬華區,公路(省、縣、鄉、鎮道,    ,    ,1,卡西酮,258.72
72,毒品,1130308,臺北市萬華區,公路(省、縣、鄉、鎮道,    ,    ,1,K(愷)他命(含液態),69.05
73,毒品,1130303,高雄市苓雅區,酒家,    ,    ,1,安非他命,0
74,毒品,1130319,新北市板橋區,公寓(三至五層建築物),    ,    ,1,海洛因,0.37
75,毒品,1130111,桃園市龍潭區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
76,毒品,1130105,桃園市龍潭區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
77,毒品,1130105,桃園市龍潭區,普通住宅(一、二層樓),    ,    ,1,海洛因,0
78,毒品,1130108,桃園市龍潭區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
79,毒品,1130204,臺北市中山區,公寓(三至五層建築物),    ,    ,1,安非他命,0.2
