no,type,oc_dt,oc_addr,oc_p1,oc_p2,oc_p3,proc_no,kind,weight_g
編號,案類,發生日期,發生地點,發生場所一,發生場所二,發生場所三,嫌疑犯人數,毒品品項,數量（淨重）_克
1,毒品,1110927,臺中市西屯區,公路(省、縣、鄉、鎮道,    ,    ,1,4-甲基甲基卡西酮(喵喵),18.12
2,毒品,1110711,澎湖縣湖西鄉,碼頭港口,    ,汽車上,1,安非他命,0
3,毒品,1110824,花蓮縣新城鄉,公路(省、縣、鄉、鎮道,    ,    ,1,大麻（大麻花及大麻葉）,0.64
4,毒品,1110806,新北市板橋區,旅社飯店客棧,    ,    ,1,甲基安非他命,0
5,毒品,1110826,桃園市中壢區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.88
6,毒品,1110902,基隆市信義區,產業道路,    ,    ,1,K(愷)他命(含液態),11.69
7,毒品,1110930,臺北市萬華區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,15.77
8,毒品,1110908,新北市新莊區,公路(省、縣、鄉、鎮道,    ,    ,2,海洛因,10.9
8,毒品,1110908,新北市新莊區,公路(省、縣、鄉、鎮道,    ,    ,2,安非他命,9.5
9,毒品,1110915,彰化縣埤頭鄉,汽車旅館,    ,巷口(路口),1,海洛因,0.99
10,毒品,1110925,臺中市神岡區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0
11,毒品,1110831,桃園市八德區,普通住宅(一、二層樓),    ,    ,1,安非他命,0
12,毒品,1110713,新竹市北區,大廈(六層以上建築物),    ,    ,3,安非他命,0.91
12,毒品,1110713,新竹市北區,大廈(六層以上建築物),    ,    ,3,安非他命,0.41
12,毒品,1110713,新竹市北區,大廈(六層以上建築物),    ,    ,3,甲基安非他命,0
12,毒品,1110713,新竹市北區,大廈(六層以上建築物),    ,    ,3,嗎啡,0
13,毒品,1110909,南投縣草屯鎮,普通住宅(一、二層樓),    ,    ,1,海洛因,0.92
14,毒品,1110702,新北市板橋區,公寓(三至五層建築物),    ,    ,1,海洛因,0
15,毒品,1110903,臺北市北投區,普通住宅(一、二層樓),    ,    ,1,安非他命,5.4
16,毒品,1110923,臺北市士林區,公路(省、縣、鄉、鎮道,    ,    ,1,安非他命,0.74
17,毒品,1110823,桃園市楊梅區,大廈(六層以上建築物),    ,    ,1,海洛因,1.59
17,毒品,1110823,桃園市楊梅區,大廈(六層以上建築物),    ,    ,1,安非他命,2.01
